_id,vendor,division,customer_id,customer,address,city,state,postal_code,vendor_item,buyer_item,quantity,uom,sale,po,po_date
500433_0000600078_0000100201_P_20221031_20221102,600078,D008,10016551,NATIONWIDE CHILDRENS HOSPITAL,700 CHILDRENS DR,COLUMBUS,OH,432052664,370,BW370,6,BX,53.4,7153668744,22-10-14
500433_0000600078_0000100201_P_20221031_20221102,600078,D011,20016901,JFK MEDICAL CENTER,65 JAMES ST,EDISON,NJ,88203947,904,BW904,3,CS,236.85,7153639769,20221013
500433_0000600078_0000100201_P_20221031_20221102,600078,D011,20016901,JFK MEDICAL CENTER,65 JAMES ST,EDISON,NJ,88203947,905,BW905,1,CS,38.55,7154196474,20221027
500433_0000600078_0000100201_P_20221031_20221102,600078,D011,21188109,HACKENSACK UNIV MEDICAL CTR,30 PROSPECT AVE,HACKENSACK,NJ,76011915,280,40789-308,1,CS,40.5,7153218950,20221003
500433_0000600078_0000100201_P_20221031_20221102,600078,D011,21188109,HACKENSACK UNIV MEDICAL CTR,30 PROSPECT AVE,HACKENSACK,NJ,76011915,280,40789-308,1,CS,40.5,7154292272,20221030
500433_0000600078_0000100201_P_20221031_20221102,600078,D011,21217583,SOUTHERN OCEAN MED CTR,1140 ROUTE 72 W,MANAHAWKIN,NJ,80502412,718,BW718,6,CS,182.46,7153191440,20221001
500433_0000600078_0000100201_P_20221031_20221102,600078,D013,10010402,BILH BEVERLY HOSPITAL,85 HERRICK ST,BEVERLY,MA,19151790,697,BW697A,1,CS,82,7153589046,20221013
500433_0000600078_0000100201_P_20221031_20221102,600078,D013,10010402,BILH BEVERLY HOSPITAL,85 HERRICK ST,BEVERLY,MA,19151790,904,BW904,3,CS,236.85,7154074871,20221025
500433_0000600078_0000100201_P_20221031_20221102,600078,D013,10010402,BILH BEVERLY HOSPITAL,85 HERRICK ST,BEVERLY,MA,19151790,405,BW405,4,CS,128.8,7154109500,20221026
500433_0000600078_0000100201_P_20221031_20221102,600078,D013,11001853,BILH BIDMC BOSTON,471 BROOKLINE AVE,BOSTON,MA,22155412,904,BW904,1,EA,7.9,7154182933,20221027
500433_0000600078_0000100201_P_20221031_20221102,600078,D013,11001853,BILH BIDMC BOSTON,471 BROOKLINE AVE,BOSTON,MA,22155412,904,BW904,2,EA,15.79,7154182625,20221027
